0,"반전도 있고,사랑도 있고재미도있네요."
1,"오, 액세스 권한이 없다고 합니다."
2,주택청약 무주택기준 변경해주세요.
3,화상으로만 보다가 리얼로 만나니 정말 반가웠습니다.
4,꼬옥 실제로 한번 뵈어요 뿌뿌뿌~!~!
5,오 마이 갓 지저스 스크론 이스트 팬
6,암만 찍어도 하늘은 까맣다.. ㅠㅠ
7,이렇게 지겨운 공포영화는 처음..
8,가장 시급한 것이 신생아실 관리입니다!!!
9,크림하우스 환불조치할 수 있도록해주세여
10,책에서 꺼내야겠어요!
11,전개가 너무 느려서 속터진다
12,오랜만에 존 쿠삭의 연기를 보니 반갑다. 좋아요~~!!
13,큰 반전 없던걸로 기억하는데...
14,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.
15,LG전자서비스의 노조 와해를 조사해주세요.
16,넘넘 즐거운 이야기를 하고나니 시간이 금방 가버렸네요.
17,최종구 금융위원장 해고!
18,정부의 도움이 절실히 필요합니다.
19,2023 아시안컵 유치에 공동개최를 반대 합니다.
20,가방에 넣어 다니면서 조금씩 먹습니다. ^^
21,김기덕·조재현 성폭행 의혹 철저히 수사하라!
22,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ
23,조금유치하지만 가볍게 볼수는 있는영화네요!
24,입대하기 전에 봤는데 윈터스 같은 사람이 진심으로 아껴준다면 목숨을 걸고 싸워도 후회는 없겠죠? 라고 생각했던 기억이 나네요 ㅎㅎ
25,"국민청원 글을 삭제하는 청와대 뉴미디어정책실은 부당한 피해자를 살해하고, 경찰에 증거를 제출하고, 악플러를 구출하기 위해 이를 은폐하고 있다."
26,이재용을 구속해주세요
27,"마지막으로 재택근무의 장점에 대해 이야기를 나누었고, 시간을 효율적으로 사용할 수 있어 감사했고 재택근무의 장점을 다시 한 번 느낄 수 있었습니다."
28,겨울산은 예쁜데 제가 등산을 잘 못해서 대만족입니다.
29,한 사람의 파멸을 드러내는 영화
30,금융감독원의 공모주 개인배분 축소(폐지)를 막아주세요.
31,지금은 매우 만족합니다.
32,오! 저도 좋아하는 노래 ㅎㅎ
33,잘 만든 영화라고 생각한다.
34,전설에 따르면 삼천리(삼천리?)에 따르면 이 영화는 꽤 괜찮을 뿐만 아니라 내가 제일 좋아하는 장학우와 장만옥도~...
35,얼마나 드시고 싶었으면…
36,보험은 재산을 몰수해서는 안됩니다.
37,엑소엘 빌보드 사건 공개
38,허나 알리슨 로먼이 벗은건 충격 -_-;;
39,대구광역시 휴교령 내려주십시요
40,왜 이런 명작을 이제야 본걸까
41,저는 무엇인가요??
42,청소년 보호법 폐지해주시기 바랍니다.
43,의료환경 개선과 경찰·소방관 지원 부탁드립니다.
44,최저임금 인상에 따른 정부지원금 부정수급을 적발하여 처벌해 주십시요
45,낮 산책은 꼭 추천합니다!
46,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ
47,내용도 그렇고 별로 맘에들지않는다.......
48,기초생활수급자 장애인을 위하여.
49,"국회의원,도의원,시의원 들 3선이상 출마금지"
50,나는 단일 아이스하키 팀을 구성하는 것에 반대합니다.
51,아이들이랑 보기 좋을거 같아요.
52,야옹이얘기와 더불어 재밌는 이야기를 하다보니 시간 가는 줄 몰랐네요.
53,이 정도 수준으로 영화관에 내보내는건 관객에 대한 모독이다.
54,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.
55,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ
56,난이게 제일 재밌었는데..
57,청소년법 폐지 적극 동참
58,겹치는 장면이 재미있다.
59,이건 진짜 최고임.
